age,hours-per-week,hasGraduateDegree,inRelationship,isWhite,isFemale,greaterThan50k
27,25,0,0,1,1,0
21,40,0,0,0,0,0
34,40,0,0,0,0,0
18,12,0,0,1,0,0
33,65,0,1,1,0,0
44,38,0,1,0,0,1
43,40,0,0,1,1,0
30,45,0,0,0,0,0
37,42,0,1,1,0,1
34,40,0,1,0,0,0
41,40,0,0,1,1,0
53,50,0,0,1,1,0
31,50,1,0,1,1,0
58,1,0,1,1,0,1
38,28,0,0,0,1,0
24,40,0,1,1,0,0
41,40,0,1,0,0,0
47,45,0,1,1,0,0
41,24,0,1,1,0,0
36,40,0,0,1,0,0
40,55,1,0,1,1,1
35,40,1,0,1,0,1
24,40,0,0,1,0,0
26,40,1,0,1,1,0
51,50,0,1,1,0,1
42,40,0,0,1,1,0
37,35,0,0,1,1,0
18,40,0,0,1,1,0
36,36,0,1,0,0,1
35,60,0,0,1,0,0
58,35,0,0,1,1,1
17,12,0,0,1,1,0
44,40,0,1,0,0,0
37,40,0,1,1,0,1
35,40,0,0,0,1,0
60,40,0,1,0,0,0
54,40,0,1,1,0,1
37,60,0,0,0,0,1
50,40,0,0,1,1,0
45,55,0,1,1,0,0
25,40,0,0,1,0,0
31,40,0,1,1,0,0
64,40,0,0,1,0,0
90,40,0,0,0,0,0
54,20,0,1,0,0,0
53,35,0,0,1,1,0
18,40,0,0,1,1,0
60,10,0,0,0,1,0
66,50,0,1,1,0,0
65,40,0,0,1,1,0
35,40,0,0,0,0,0
41,38,0,0,0,1,0
25,42,0,0,1,0,0
33,40,0,0,0,1,0
28,55,0,0,1,0,1
59,40,0,1,1,0,0
40,38,0,0,1,1,0
38,70,1,1,1,0,1
23,40,0,0,1,0,0
40,40,0,1,1,0,1
41,20,0,0,1,1,0
24,50,0,1,1,0,0
20,20,0,0,1,0,0
38,40,0,0,1,0,0
58,45,0,1,1,0,1
32,34,0,0,1,1,0
40,60,0,1,1,0,1
41,40,0,0,1,1,1
42,40,0,0,0,1,0
59,30,0,0,0,1,0
19,40,0,0,1,0,0
58,20,0,0,1,0,0
20,40,0,0,1,1,0
32,30,0,0,1,1,0
45,45,0,0,1,1,0
50,40,0,0,1,0,0
36,40,0,0,1,1,0
45,60,0,1,1,0,0
17,12,0,0,1,0,0
59,40,0,1,1,0,0
26,40,0,1,1,0,0
64,40,0,1,1,0,1
33,45,0,0,1,1,0
33,40,0,0,1,1,1
61,40,0,1,1,0,1
17,24,0,0,1,0,0
50,98,1,1,1,0,0
27,35,1,0,1,0,0
30,40,0,0,1,1,0
43,40,0,1,0,0,0
44,40,0,1,1,0,1
35,40,0,0,1,1,0
25,40,0,0,1,1,0
24,48,0,0,1,1,1
42,40,0,1,1,0,1
34,45,0,0,0,1,0
60,42,0,0,1,1,0
21,40,0,0,1,0,0
57,40,1,1,1,0,1
41,60,0,1,1,0,1
50,45,0,0,1,0,0
25,40,0,0,1,1,0
36,45,0,1,1,0,0
31,40,0,0,1,1,0
29,56,0,0,1,0,0
21,45,0,0,1,0,0
27,40,0,0,0,1,0
65,16,0,1,1,0,0
37,60,0,0,1,1,0
24,40,0,0,1,0,0
38,80,0,0,1,0,0
48,40,0,1,1,0,1
21,25,0,0,0,1,0
31,45,0,1,1,0,1
55,40,0,1,1,0,1
43,40,0,0,1,1,0
26,45,0,0,1,0,0
46,33,0,0,1,1,0
35,40,0,1,1,0,1
41,54,0,1,1,0,1
26,40,0,0,1,0,0
19,25,0,0,0,1,0
36,40,0,0,0,1,1
22,15,0,0,1,0,0
24,40,0,0,1,0,0
77,40,0,1,1,0,0
29,40,0,0,1,1,0
62,24,0,0,1,1,0
39,40,0,1,1,0,0
43,50,0,1,1,0,0
35,45,0,0,1,0,0
29,40,0,0,1,1,0
76,10,1,1,1,0,0
63,45,0,1,1,0,0
23,15,0,0,0,1,0
43,50,0,0,1,1,1
58,40,0,1,1,0,0
66,55,0,0,1,0,0
41,45,0,0,0,0,0
26,40,0,0,1,0,0
47,40,0,0,1,0,0
55,40,0,1,1,0,0
53,40,0,1,1,0,0
30,40,0,0,1,0,0
49,60,1,0,1,0,0
45,40,0,1,0,0,0
26,40,0,0,1,0,0
38,40,0,1,1,0,1
36,40,0,1,1,0,1
33,20,0,0,1,0,0
22,40,0,0,0,1,0
43,42,0,0,1,0,0
67,8,0,1,1,0,0
30,40,0,0,1,1,0
31,25,0,0,1,0,0
33,40,0,1,1,0,1
26,40,0,1,1,0,0
33,40,0,1,1,0,1
46,30,0,1,1,0,0
59,40,0,1,1,0,1
38,40,0,1,1,0,1
65,40,0,0,0,0,0
40,40,0,1,1,0,1
42,35,0,0,1,1,0
36,24,0,0,1,1,0
62,40,1,1,1,0,1
43,45,0,1,1,0,0
43,45,0,0,1,0,1
22,55,0,0,1,0,0
28,40,0,1,1,0,0
56,45,0,1,1,0,0
22,15,0,0,1,1,0
57,45,0,0,1,1,1
39,40,0,0,1,1,0
26,15,0,0,1,1,0
17,10,0,0,1,0,0
40,38,0,1,1,0,1
45,40,0,1,0,0,0
44,40,0,0,0,0,0
20,10,0,0,1,1,0
33,40,0,0,1,1,0
23,40,0,0,1,0,0
46,30,1,0,1,0,0
38,50,0,1,1,0,0
54,40,0,0,1,0,0
46,45,0,0,1,1,0
25,40,0,1,1,0,0
46,40,0,0,1,1,0
36,40,0,0,1,1,0
23,25,0,0,1,1,0
29,40,0,0,1,0,0
44,6,0,0,1,1,1
19,16,0,0,1,1,0
19,40,0,0,1,1,0
35,40,0,0,1,1,1
27,50,0,0,1,0,0
46,40,0,0,1,0,0
34,35,0,0,1,1,0
44,40,0,1,1,0,0
45,40,0,0,1,1,0
20,35,0,0,1,1,0
25,55,0,1,1,0,1
52,50,0,1,1,0,1
20,40,0,0,1,0,0
28,40,0,0,1,1,0
50,40,0,1,1,0,1
34,64,0,0,1,1,0
41,65,1,1,1,0,1
28,40,0,1,1,0,0
46,25,0,1,1,0,0
28,40,0,0,1,1,1
32,50,0,1,1,0,0
41,24,0,0,0,1,0
24,40,0,0,0,1,0
33,40,0,0,1,1,0
46,60,0,1,1,0,1
31,40,0,1,1,0,0
35,50,0,0,1,0,1
30,19,0,0,1,1,0
34,40,0,0,0,0,0
34,40,0,0,1,1,0
20,30,0,1,1,0,0
17,18,0,0,1,0,0
32,40,0,0,1,1,1
29,40,0,0,1,0,0
33,35,0,0,1,1,0
25,60,0,1,1,0,0
36,40,1,0,1,0,0
63,40,0,1,1,0,1
47,40,1,1,1,0,0
80,24,0,0,1,0,0
17,40,0,0,1,0,0
40,40,0,0,1,1,0
30,25,0,0,1,1,1
33,50,1,1,1,0,1
34,60,0,0,0,0,0
34,40,0,0,1,1,0
23,40,0,1,1,0,0
42,40,0,0,1,1,0
29,40,0,0,1,0,0
45,28,0,0,1,1,0
24,40,0,0,1,0,0
44,40,0,1,1,0,1
20,35,0,0,1,0,0
44,40,0,0,0,1,0
51,40,0,1,0,0,0
20,40,0,1,1,0,0
17,5,0,0,1,1,0
19,40,0,0,0,1,0
45,55,0,1,1,0,1
60,40,0,1,1,0,1
44,40,0,0,1,1,1
40,40,0,1,0,0,1
30,40,0,0,1,1,0
38,50,0,1,0,0,0
23,60,0,1,1,0,0
32,40,0,1,1,0,0
44,40,0,0,1,0,0
54,40,0,1,0,0,0
32,50,0,1,1,0,0
50,40,0,0,1,0,0
24,20,0,0,1,1,0
37,60,0,0,1,1,0
52,40,0,0,1,0,0
38,40,0,1,1,0,0
49,45,1,1,1,0,1
30,16,0,0,1,1,1
60,40,0,0,1,0,1
22,40,0,0,1,0,0
35,40,0,0,1,0,0
30,60,0,0,1,0,0
67,24,0,0,1,1,0
46,40,0,0,1,1,0
17,6,0,0,1,0,0
22,30,0,0,1,0,0
27,40,0,0,1,0,0
23,35,0,0,1,1,0
43,20,0,1,1,0,0
28,20,0,0,1,0,0
41,40,0,0,1,1,0
52,40,0,0,0,0,0
25,20,0,0,0,1,0
63,35,0,1,1,0,0
59,45,0,1,1,0,0
45,40,0,0,1,1,0
38,60,0,1,1,0,1
40,35,0,0,1,1,0
46,40,0,0,1,0,0
35,60,0,0,1,1,0
34,25,0,0,1,1,0
33,20,0,0,1,0,0
41,36,0,0,1,1,0
20,40,0,0,1,0,0
26,35,0,0,1,1,0
72,20,0,1,1,0,0
62,40,0,1,1,0,0
52,40,0,1,1,0,0
25,40,0,0,1,1,0
24,40,0,0,0,0,0
19,8,0,0,1,0,0
43,40,0,1,1,0,0
47,40,0,0,0,1,0
39,40,0,0,1,1,0
49,42,0,0,1,0,0
53,30,0,0,0,1,0
32,45,0,0,1,0,0
34,50,0,1,1,0,1
28,45,0,0,1,0,0
57,38,0,0,1,1,0
25,20,0,0,0,1,0
20,24,0,0,1,0,0
21,35,0,0,1,1,0
34,50,0,1,1,0,1
38,80,0,1,1,0,1
50,50,0,1,1,0,1
24,50,0,0,0,0,0
37,45,0,1,1,0,1
44,58,0,0,1,0,1
28,40,0,0,1,1,0
42,40,0,1,1,0,1
74,9,0,0,1,1,0
38,50,0,1,1,0,0
44,40,1,1,1,0,0
26,40,0,0,1,0,0
36,40,0,1,0,0,0
41,50,0,0,1,1,1
67,48,0,1,1,0,1
39,50,0,1,1,0,0
57,30,0,0,0,1,0
29,40,0,0,1,0,0
31,45,0,0,1,1,0
34,40,0,0,0,1,0
44,40,0,1,1,0,0
29,40,0,0,1,0,0
30,40,0,0,1,1,0
27,40,0,0,1,0,0
27,50,0,1,1,0,0
32,45,0,0,1,1,0
58,8,0,0,1,1,0
35,40,0,1,1,0,0
21,36,0,0,1,0,0
28,40,0,0,1,0,0
46,50,0,0,1,0,0
36,40,0,0,1,1,0
72,40,0,0,1,1,0
35,40,0,0,0,1,0
33,40,0,0,0,1,1
69,40,0,0,1,1,0
35,40,0,1,1,0,0
34,32,0,0,1,1,0
28,55,0,0,1,0,0
54,35,0,1,1,0,1
47,50,0,1,1,0,1
24,40,0,0,0,1,0
52,60,0,1,1,0,1
20,48,0,0,0,0,0
43,45,1,1,1,0,0
29,35,0,0,1,0,0
47,42,1,0,1,0,0
24,40,0,0,1,0,0
51,40,0,1,1,0,0
17,12,0,0,1,0,0
37,40,0,1,1,0,1
27,70,0,0,1,1,0
29,40,0,0,1,0,1
18,25,0,0,1,0,0
36,35,0,0,1,1,0
58,40,0,0,1,1,0
26,45,0,1,1,0,0
65,30,0,1,1,0,1
57,40,0,1,1,0,1
59,40,0,1,1,0,0
27,40,0,1,1,0,0
31,40,0,0,1,0,0
21,24,0,0,1,1,0
29,60,0,0,1,0,0
18,40,0,0,1,0,0
52,47,0,1,1,0,1
57,80,0,0,1,0,0
42,40,0,1,1,0,0
55,40,0,0,0,1,0
60,48,0,0,1,0,1
23,40,0,0,1,1,0
27,40,0,0,1,0,0
23,25,0,0,0,1,0
42,50,0,1,1,0,1
25,40,0,0,1,0,0
49,45,0,0,1,1,0
32,40,0,0,1,0,0
19,28,0,0,1,0,0
60,40,0,0,1,1,0
42,40,0,1,1,0,0
35,40,0,0,1,0,0
48,37,0,0,0,1,0
51,40,1,1,1,0,1
29,40,0,0,0,0,0
36,40,0,0,0,0,0
17,21,0,0,1,1,0
52,60,1,0,1,1,0
24,40,0,0,1,0,0
24,50,0,1,1,0,0
26,40,0,0,1,0,0
27,20,0,0,1,1,0
39,60,0,0,1,0,0
30,45,0,1,0,0,0
50,32,0,1,1,0,0
52,55,0,1,1,0,0
46,45,0,1,1,0,1
23,20,0,0,1,1,0
45,20,0,0,0,1,0
65,24,0,0,0,1,0
29,55,0,1,1,0,0
30,60,0,0,0,0,0
34,45,0,1,1,0,1
38,64,0,1,1,0,0
33,40,0,1,1,0,1
49,26,0,1,1,0,1
47,40,0,0,0,1,0
49,40,0,0,0,1,0
43,60,0,1,1,0,1
30,40,0,0,0,1,1
58,60,0,1,1,0,0
19,14,0,0,1,1,0
21,40,0,0,1,0,0
33,60,0,1,1,0,1
52,60,0,1,1,0,1
26,55,0,0,1,0,0
60,40,0,1,1,0,0
21,40,0,0,1,0,0
36,50,0,1,1,0,1
31,45,0,1,1,0,0
50,40,0,0,1,0,1
31,40,0,0,1,1,0
71,15,0,1,1,0,0
58,50,0,1,1,0,0
30,40,0,1,1,0,1
20,20,0,0,1,0,0
24,50,0,0,1,0,0
38,45,0,0,1,1,0
27,32,0,0,1,1,0
70,15,0,0,1,1,0
34,45,0,1,1,0,0
44,35,0,1,1,0,0
43,40,0,1,1,0,1
44,40,0,1,0,0,1
35,60,1,0,1,0,0
27,40,0,0,1,0,0
43,38,1,0,1,0,0
20,25,0,0,1,1,0
42,40,0,0,1,1,1
27,40,0,1,1,0,0
42,40,0,1,0,0,1
24,40,0,0,1,0,0
48,40,0,0,1,0,0
17,20,0,0,1,1,0
17,10,0,0,1,0,0
33,40,0,1,1,0,1
50,50,0,1,1,0,1
22,40,0,0,1,1,0
17,16,0,0,1,0,0
31,45,0,0,1,0,0
58,50,0,0,1,0,0
29,48,0,0,1,0,0
34,40,0,1,1,0,1
23,40,0,0,0,0,0
18,5,0,0,1,1,0
34,40,0,0,1,1,0
66,4,0,0,1,0,0
45,55,0,0,1,1,0
26,30,0,0,1,0,0
54,40,0,1,1,0,0
24,45,0,0,0,1,0
42,50,0,1,1,0,0
20,20,0,0,1,0,0
23,20,0,0,1,1,0
25,45,0,0,1,0,0
35,60,1,0,1,0,1
31,40,1,1,1,0,1
19,20,0,0,1,1,0
36,50,0,0,1,0,0
21,30,0,0,1,0,0
31,40,0,1,1,0,0
46,65,0,0,1,1,1
44,50,0,0,1,1,1
45,40,0,0,0,0,0
60,35,0,1,1,0,0
18,25,0,0,1,0,0
28,40,0,1,1,0,0
36,40,0,0,0,1,0
40,40,0,1,1,0,0
31,40,0,0,0,1,0
33,40,0,1,1,0,0
19,40,0,0,1,1,0
22,15,0,0,1,1,0
34,45,0,1,1,0,1
33,40,0,0,1,0,0
41,60,0,1,1,0,0
29,40,0,0,1,0,0
50,42,0,1,1,0,1
42,45,0,1,1,0,1
44,40,0,0,1,1,0
20,20,0,0,1,1,0
23,24,0,0,1,1,0
55,40,0,0,0,1,0
26,45,0,1,1,0,0
25,15,0,0,1,1,0
45,40,0,0,0,1,0
35,40,0,1,1,0,0
36,36,0,0,0,1,0
43,50,0,1,1,0,0
56,20,0,0,0,1,0
42,40,0,1,1,0,1
19,25,0,0,1,1,0
55,72,0,1,1,0,0
42,50,1,0,1,1,1
26,40,0,0,1,0,0
17,20,0,0,1,0,0
42,40,0,0,1,1,1
55,40,0,1,1,0,1
32,40,0,0,0,1,0
46,37,0,1,1,0,0
29,40,0,1,1,0,1
22,20,0,0,1,0,0
58,40,0,1,1,0,0
23,50,0,0,1,0,0
39,40,0,0,1,0,0
27,38,0,0,1,0,0
54,40,0,1,1,0,1
33,45,0,0,1,1,0
46,40,0,0,1,1,1
37,40,0,0,0,0,0
36,18,0,0,1,1,0
59,38,0,0,1,1,1
53,70,0,1,1,0,1
51,55,0,0,1,0,1
32,42,0,0,1,1,0
31,40,0,0,1,0,0
47,50,0,0,1,1,0
32,40,0,0,1,0,0
26,38,0,0,1,1,0
31,55,0,0,1,0,0
37,24,0,0,1,1,1
55,38,0,0,1,0,0
23,56,0,0,1,0,0
36,40,0,0,1,1,0
43,50,0,1,1,0,1
54,40,0,0,1,0,0
28,42,0,0,1,1,0
40,50,0,1,1,0,1
41,60,0,1,1,0,0
40,55,0,0,0,1,1
42,38,0,0,0,1,0
61,50,0,1,1,0,0
18,30,0,0,1,0,0
59,16,0,1,1,0,0
21,40,0,0,1,1,0
48,50,0,1,1,0,1
41,40,0,1,1,0,0
18,33,0,0,1,0,0
23,40,0,0,1,1,0
60,60,0,1,1,0,1
22,20,0,0,0,0,0
61,40,0,1,1,0,0
25,40,0,0,0,0,0
46,35,1,0,1,0,1
43,40,0,0,1,0,0
24,30,0,0,0,0,0
68,20,0,0,1,0,0
31,38,0,0,1,1,0
17,20,0,0,1,1,0
32,48,0,1,1,0,1
50,40,1,0,1,0,0
33,47,0,1,1,0,1
64,40,0,1,1,0,1
20,30,0,0,1,0,0
30,36,0,0,1,1,0
22,40,0,0,0,0,0
43,45,0,0,1,0,0
22,40,0,0,1,0,0
17,20,0,0,1,0,0
41,60,0,0,1,1,0
56,50,0,1,1,0,1
64,45,0,1,1,0,0
47,50,0,1,1,0,1
48,40,0,0,1,0,0
31,46,1,0,1,1,0
29,40,0,0,1,0,0
30,40,0,0,1,1,0
32,60,0,1,1,0,0
57,42,0,0,1,0,1
62,40,0,0,1,1,0
39,24,0,0,1,1,0
43,25,0,0,1,0,0
24,40,0,0,1,0,0
42,15,0,1,1,0,0
53,40,0,0,1,1,1
26,40,0,0,1,0,0
73,40,0,1,1,0,0
72,24,0,0,1,1,0
55,40,0,1,1,0,0
25,40,0,0,1,0,0
41,50,0,0,1,1,1
24,50,0,0,1,0,0
63,6,0,0,1,0,0
17,20,0,0,1,0,0
35,50,0,1,1,0,0
51,40,0,1,1,0,1
62,48,0,0,1,1,0
55,40,0,1,1,0,1
43,40,0,0,1,0,0
40,50,0,0,1,1,0
37,45,0,1,1,0,1
39,40,0,1,1,0,0
31,18,0,0,1,0,0
61,40,1,0,1,1,1
26,55,0,0,1,1,0
46,50,0,1,1,0,0
26,40,0,0,1,1,0
48,50,0,0,1,0,1
34,40,0,0,1,0,0
34,40,0,0,1,1,0
59,40,0,1,1,0,1
34,40,0,0,1,1,0
49,56,0,0,1,1,1
18,20,0,0,1,1,0
48,50,0,1,1,0,0
28,70,0,1,1,0,0
33,40,0,1,1,0,0
24,15,0,0,1,1,0
21,40,0,0,1,0,0
17,28,0,0,1,0,0
39,50,0,1,1,0,1
29,40,0,0,1,0,0
44,40,0,1,1,0,1
24,50,0,0,1,0,0
71,40,1,1,1,0,1
55,25,0,0,0,0,0
41,60,0,1,1,0,1
23,7,0,0,0,1,0
38,40,0,0,1,1,0
39,40,0,1,1,0,1
19,30,0,0,1,1,0
49,40,0,0,1,1,0
27,70,0,1,1,0,0
38,50,0,1,1,0,1
33,60,0,0,1,1,0
63,15,0,1,1,0,0
23,28,0,0,1,0,0
54,40,0,1,0,0,0
29,45,0,0,1,1,0
48,30,0,0,0,1,0
35,40,0,0,1,0,0
37,50,0,1,1,0,1
42,65,0,1,1,0,1
40,40,1,1,1,0,0
47,55,0,0,1,0,0
22,50,0,0,1,1,0
30,45,0,1,1,0,1
28,40,0,1,1,0,0
63,55,0,1,1,0,0
51,20,0,1,1,0,0
22,40,0,0,1,1,0
27,40,0,0,0,0,0
35,45,0,0,1,0,0
46,38,0,0,1,1,0
37,52,0,0,1,0,0
24,15,0,0,0,0,0
37,10,0,0,1,0,0
53,40,0,1,1,0,0
27,30,0,0,1,0,0
38,44,0,0,1,0,0
53,60,0,1,1,0,0
34,40,0,0,1,0,0
23,40,0,0,0,0,0
39,45,0,1,1,0,1
67,40,0,1,0,0,1
81,30,0,1,1,0,0
21,20,0,0,1,0,0
23,25,0,0,1,0,0
25,40,0,0,1,0,0
38,40,0,0,0,1,0
64,5,0,1,1,0,0
32,40,0,1,1,0,0
37,40,0,1,1,0,0
51,60,1,1,1,0,1
22,42,0,0,1,1,0
42,55,0,0,1,0,0
19,10,0,0,1,1,0
51,40,0,1,1,0,0
37,44,0,1,1,0,1
37,99,0,1,1,0,1
47,25,1,0,1,1,0
41,40,0,1,1,0,1
33,30,0,1,1,0,0
31,40,0,0,1,0,1
31,40,0,0,0,1,0
35,40,0,1,0,0,0
38,40,0,1,1,0,1
18,45,0,0,1,1,0
20,40,0,1,1,0,0
54,35,0,0,0,1,0
40,40,0,0,1,1,0
36,45,0,0,1,1,1
43,35,0,0,1,0,0
44,40,0,0,1,0,0
44,40,0,0,1,1,1
43,43,1,1,1,0,1
51,40,0,0,0,1,0
18,20,0,0,1,1,0
51,40,0,1,1,0,0
44,70,0,1,1,0,1
33,40,0,0,1,0,0
33,40,0,1,1,0,1
42,40,0,1,1,0,1
25,45,0,1,1,0,0
32,38,0,0,1,1,0
36,40,0,0,1,1,0
28,40,0,1,1,0,0
20,20,0,0,1,1,0
35,60,0,1,1,0,1
55,20,0,1,1,0,0
36,20,0,0,1,1,0
34,35,0,1,1,0,1
28,35,0,0,1,1,0
67,40,0,0,1,0,1
37,40,0,1,1,0,0
44,70,0,0,1,0,0
25,40,0,0,1,1,0
21,40,0,0,1,1,0
40,35,1,1,1,0,1
78,40,0,0,0,1,0
34,40,0,0,1,0,0
49,44,0,0,1,1,0
22,40,0,0,1,1,0
23,40,0,0,0,1,0
60,42,0,0,1,0,0
45,40,0,0,1,0,1
63,20,0,0,1,1,0
41,35,0,0,0,1,0
47,40,0,0,1,1,0
44,40,0,0,1,0,0
51,40,0,0,1,1,0
46,40,0,0,1,0,0
41,40,0,1,1,0,0
50,30,0,1,1,0,0
47,50,0,1,1,0,1
35,45,0,0,1,0,0
56,55,0,1,1,0,1
45,45,1,0,1,0,0
48,58,0,0,1,0,1
40,40,0,1,1,0,0
39,50,0,1,1,0,1
20,40,0,0,1,0,0
50,65,0,1,1,0,1
38,40,0,0,1,1,1
23,60,0,0,1,1,0
31,16,0,0,1,0,0
58,40,0,1,1,0,0
66,40,0,0,0,0,0
39,40,0,1,1,0,1
54,52,0,1,1,0,1
51,40,0,0,1,1,0
34,40,0,0,1,0,0
50,40,0,1,1,0,1
42,44,0,1,1,0,1
38,25,1,1,1,0,0
48,40,0,1,1,0,0
33,40,0,0,1,1,1
51,32,0,0,1,1,0
22,40,0,0,1,0,0
19,30,0,0,1,0,0
48,35,1,1,1,0,1
42,30,0,0,1,1,0
34,40,0,1,1,0,0
23,40,0,0,0,1,0
45,55,0,1,1,0,1
48,40,0,0,1,1,0
31,40,0,0,1,1,0
20,20,0,0,1,0,0
27,40,0,0,1,0,0
32,40,0,0,0,1,0
76,2,0,0,1,0,0
19,40,0,0,1,0,0
37,75,0,0,1,0,0
34,30,0,0,0,1,0
34,8,0,0,1,1,0
90,40,0,0,1,1,0
23,40,0,0,0,1,0
43,40,0,0,1,1,0
44,60,0,1,1,0,1
24,37,0,0,1,1,0
28,55,0,0,1,0,0
64,20,0,0,1,1,0
23,40,0,1,1,0,0
20,50,0,0,1,1,0
36,50,0,1,1,0,1
61,40,0,1,1,0,0
30,40,0,1,1,0,1
52,55,0,1,1,0,1
32,40,0,1,1,0,0
30,75,0,1,1,0,0
41,40,0,0,1,1,0
49,40,1,1,1,0,1
45,47,0,1,1,0,1
43,35,0,1,1,0,0
61,40,0,1,1,0,0
34,40,0,0,1,1,0
49,80,0,1,1,0,1
38,40,0,0,1,0,0
35,80,0,1,1,0,1
36,40,0,1,1,0,0
30,50,0,1,1,0,0
36,60,0,0,1,1,0
22,20,0,0,1,1,0
38,40,0,1,1,0,1
37,50,0,1,1,0,1
48,46,0,0,1,1,1
17,15,0,0,1,0,0
19,20,0,0,1,0,0
27,40,0,0,0,1,0
49,40,0,1,1,0,0
43,40,0,0,1,1,1
43,40,0,0,1,1,0
19,35,0,0,1,1,0
58,60,0,1,1,0,0
41,40,0,1,1,0,1
31,40,0,1,1,0,0
30,40,0,1,1,0,0
32,40,0,1,1,0,0
29,35,0,0,1,0,0
42,52,0,1,1,0,1
38,28,0,0,1,0,0
41,40,0,1,1,0,1
44,50,0,0,1,0,1
34,40,0,0,1,0,0
21,40,0,0,1,0,0
62,40,0,1,1,0,0
19,40,0,0,1,1,0
29,25,0,0,1,1,1
43,40,0,0,1,1,0
68,8,0,1,1,0,0
45,60,0,1,1,0,1
41,50,0,1,0,0,0
