"","treat","age","educ","black","hispan","married","nodegree","re74","re75","re78"
"105",1,19,11,1,0,0,1,0,0,7458.105
"106",1,43,9,1,0,0,1,0,0,0
"107",1,27,13,1,0,0,0,0,0,34099.28
"108",1,17,9,1,0,0,1,0,0,1953.268
"109",1,30,11,1,0,0,1,0,0,0
"110",1,26,10,1,0,1,1,2027.999,0,0
"111",1,20,9,1,0,0,1,6083.994,0,8881.665
"112",1,17,9,0,1,0,1,445.1704,74.34345,6210.67
"113",1,20,12,1,0,0,0,989.2678,165.2077,0
"114",1,18,11,1,0,0,1,858.2543,214.5636,929.8839
"115",1,27,12,1,0,1,0,3670.872,334.0493,0
"116",1,21,12,0,0,0,0,3670.872,334.0494,12558.02
"117",1,27,12,1,0,0,0,2143.413,357.9499,22163.25
"118",1,20,12,1,0,0,0,0,377.5686,1652.637
"119",1,19,10,1,0,0,1,0,385.2741,8124.715
"120",1,23,12,1,0,0,0,5506.308,501.0741,671.3318
"121",1,29,14,1,0,0,0,0,679.6734,17814.98
"122",1,18,10,1,0,0,1,0,798.9079,9737.154
"123",1,19,9,1,0,0,1,0,798.9079,17685.18
"124",1,27,13,0,0,1,0,9381.566,853.7225,0
"125",1,18,11,0,0,0,1,3678.231,919.5579,4321.705
"126",1,27,9,1,0,1,1,0,934.4454,1773.423
"127",1,22,12,1,0,0,0,5605.852,936.1773,0
"128",1,23,10,1,0,1,1,0,936.4386,11233.26
"129",1,23,12,0,1,0,0,9385.74,1117.439,559.4432
"130",1,20,11,1,0,0,1,3637.498,1220.836,1085.44
"131",1,17,9,1,0,0,1,1716.509,1253.439,5445.2
"132",1,28,11,1,0,0,1,0,1284.079,60307.93
"133",1,26,11,1,0,1,1,0,1392.853,1460.36
"134",1,20,11,1,0,0,1,16318.62,1484.994,6943.342
"135",1,24,11,1,0,1,1,824.3886,1666.113,4032.708
"136",1,31,9,1,0,0,1,0,1698.607,10363.27
"137",1,23,8,0,0,1,1,0,1713.15,4232.309
"138",1,18,10,1,0,0,1,2143.411,1784.274,11141.39
"139",1,29,12,1,0,0,0,10881.94,1817.284,0
"140",1,26,11,0,0,0,1,0,2226.266,13385.86
"141",1,24,9,1,0,0,1,9154.7,2288.675,4849.559
"142",1,25,12,1,0,0,0,14426.79,2409.274,0
"143",1,24,10,1,0,0,1,4250.402,2421.947,1660.508
"144",1,46,8,1,0,0,1,3165.658,2594.723,0
"145",1,31,12,0,0,0,0,0,2611.218,2484.549
"146",1,19,11,1,0,0,1,2305.026,2615.276,4146.603
"147",1,19,8,1,0,0,1,0,2657.057,9970.681
"148",1,27,11,1,0,0,1,2206.94,2666.274,0
"149",1,26,11,1,0,1,1,0,2754.646,26372.28
"150",1,20,10,1,0,0,1,5005.731,2777.355,5615.189
"151",1,28,10,1,0,0,1,0,2836.506,3196.571
"152",1,24,12,1,0,0,0,13765.75,2842.764,6167.681
"153",1,19,8,1,0,0,1,2636.353,2937.264,7535.942
"154",1,23,12,1,0,0,0,6269.341,3039.96,8484.239
"155",1,42,9,1,0,1,1,0,3058.531,1294.409
"156",1,25,13,1,0,0,0,12362.93,3090.732,0
"157",1,18,9,1,0,0,1,0,3287.375,5010.342
"158",1,21,12,1,0,0,0,6473.683,3332.409,9371.037
"159",1,27,10,1,0,0,1,1001.146,3550.075,0
"160",1,21,8,1,0,0,1,989.2678,3695.897,4279.613
"161",1,22,9,1,0,0,1,2192.877,3836.986,3462.564
"162",1,31,4,1,0,0,1,8517.589,4023.211,7382.549
"163",1,24,10,1,0,1,1,11703.2,4078.152,0
"164",1,29,10,1,0,0,1,0,4398.95,0
"165",1,29,12,1,0,0,0,9748.387,4878.937,10976.51
"166",1,19,10,0,0,0,1,0,5324.109,13829.62
"167",1,19,11,0,1,1,1,5424.485,5463.803,6788.463
"168",1,31,9,1,0,0,1,10717.03,5517.841,9558.501
"169",1,22,10,1,0,1,1,1468.348,5588.664,13228.28
"170",1,21,9,1,0,0,1,6416.47,5749.331,743.6666
"171",1,17,10,1,0,0,1,1291.468,5793.852,5522.788
"172",1,26,12,1,0,1,0,8408.762,5794.831,1424.944
"173",1,20,9,0,1,0,1,12260.78,5875.049,1358.643
"174",1,19,10,1,0,0,1,4121.949,6056.754,0
"175",1,26,10,1,0,0,1,25929.68,6788.958,672.8773
"176",1,28,11,1,0,0,1,1929.029,6871.856,0
"177",1,22,12,0,1,1,0,492.2305,7055.702,10092.83
"178",1,33,11,1,0,0,1,0,7867.916,6281.433
"179",1,22,12,0,0,0,0,6759.994,8455.504,12590.71
"180",1,29,10,0,1,0,1,0,8853.674,5112.014
"181",1,33,12,1,0,1,0,20279.95,10941.35,15952.6
"182",1,25,14,1,0,1,0,35040.07,11536.57,36646.95
"183",1,35,9,1,0,1,1,13602.43,13830.64,12803.97
"184",1,35,8,1,0,1,1,13732.07,17976.15,3786.628
"185",1,33,11,1,0,1,1,14660.71,25142.24,4181.942
"186",0,30,12,0,0,1,0,20166.73,18347.23,25564.67
"187",0,26,12,0,0,1,0,25862.32,17806.55,25564.67
"188",0,25,16,0,0,1,0,25862.32,15316.21,25564.67
"189",0,42,11,0,0,1,1,21787.05,14265.29,15491.01
"190",0,25,9,1,0,1,1,14829.69,13776.53,0
"191",0,37,9,1,0,1,1,13685.48,12756.05,17833.2
"192",0,32,12,0,0,1,0,19067.58,12625.35,14146.28
"193",0,20,12,1,0,0,0,7392.314,12396.19,17765.23
"194",0,38,9,0,1,1,1,16826.18,12029.18,0
"195",0,39,10,0,0,1,1,16767.41,12022.02,4433.18
"196",0,41,5,0,0,1,1,10785.76,11991.58,19451.31
"197",0,31,14,0,0,1,0,17831.29,11563.69,22094.97
"198",0,34,8,0,0,1,1,8038.872,11404.35,5486.799
"199",0,29,12,0,0,1,0,14768.95,11146.55,6420.722
"200",0,22,14,1,0,1,0,748.4399,11105.37,18208.55
"201",0,42,0,0,1,1,1,2797.833,10929.92,9922.934
"202",0,25,9,0,1,0,1,5460.477,10589.76,7539.361
"203",0,28,9,0,0,1,1,11091.41,10357.02,15406.78
"204",0,40,13,0,0,1,0,3577.621,10301.52,11911.95
"205",0,35,9,0,0,1,1,11475.43,9397.403,11087.38
"206",0,27,10,0,1,1,1,15711.36,9098.419,17023.41
"207",0,27,6,0,1,1,1,7831.189,9071.565,5661.171
"208",0,36,12,0,0,1,0,25535.12,8695.597,21905.82
"209",0,47,8,1,0,1,1,9275.169,8543.419,0
"210",0,40,11,0,0,1,1,20666.35,8502.242,25564.67
"211",0,27,7,0,0,1,1,3064.293,8461.065,11149.45
"212",0,36,9,1,0,1,1,13256.4,8457.484,0
"213",0,39,6,0,1,1,1,13279.91,8441.371,25048.94
"214",0,21,9,0,0,1,1,11156.07,8441.371,1213.214
"215",0,29,12,0,0,1,0,11199.17,8081.516,0
"216",0,22,13,0,1,0,0,6404.843,7882.79,9453.017
"217",0,25,10,0,0,1,1,13634.54,7793.274,11688.82
"218",0,27,12,0,0,1,0,12270.89,7709.129,7806.829
"219",0,45,8,0,0,1,1,22415.97,7635.726,15931.37
"220",0,26,12,0,0,1,0,2345.242,7565.903,2838.713
"221",0,27,12,0,0,1,0,9788.497,7496.081,14038.4
"222",0,33,8,0,0,1,1,12312.03,7474.597,25514.43
"223",0,25,12,0,0,1,0,11381.38,7467.435,4162.756
"224",0,49,8,0,0,1,1,6459.703,7431.629,7503.896
"225",0,40,3,0,1,1,1,7576.485,7426.258,12104.06
"226",0,22,12,1,0,1,0,9729.719,7372.548,2231.367
"227",0,25,5,0,0,1,1,7891.927,7293.774,14617.67
"228",0,25,12,0,0,1,0,11516.57,7263.339,19588.74
"229",0,21,12,0,0,1,0,13601.23,7202.468,10746.03
"230",0,33,9,0,1,1,1,11959.36,7087.887,25564.67
"231",0,20,12,1,0,1,0,9555.344,7055.661,0
"232",0,19,11,0,0,1,1,4306.468,6978.677,837.871
"233",0,25,12,1,0,1,0,295.8493,6942.871,461.0507
"234",0,29,12,0,0,1,0,15303.83,6932.129,24290.87
"235",0,20,12,0,0,1,0,3558.029,6797.855,6680.802
"236",0,29,6,0,1,1,1,8542.403,6701.177,7196.528
"237",0,25,13,0,0,1,0,19259.59,6652.839,13015.82
"238",0,41,15,0,0,1,0,25862.32,6563.323,24647
"239",0,39,10,0,0,1,1,22745.13,6493.5,25564.67
"240",0,33,12,0,0,1,0,10819.07,6369.968,2936.243
"241",0,29,8,0,0,1,1,9169.369,6352.065,20575.86
"242",0,21,11,0,0,1,1,10679.96,6276.871,10923.35
"243",0,31,12,0,0,1,0,23652.27,6228.532,22403.81
"244",0,36,12,1,0,1,0,11040.47,6221.371,7215.739
"245",0,25,7,0,0,1,1,5597.625,6099.629,122.6513
"246",0,35,7,0,0,1,1,10715.23,6087.097,15177.73
"247",0,22,9,0,0,1,1,5683.833,6038.758,4742.025
"248",0,31,2,0,1,1,1,3262.179,5965.355,9732.307
"249",0,40,15,0,0,1,0,10907.24,5922.387,6238.962
"250",0,47,3,0,0,1,1,9047.894,5911.645,6145.865
"251",0,26,8,0,1,0,1,3168.134,5872.258,11136.15
"252",0,42,7,0,0,1,1,10971.89,5806.016,9241.702
"253",0,53,12,0,0,0,0,17104.4,5775.581,19965.56
"254",0,30,17,1,0,0,0,17827.37,5546.419,14421.13
"255",0,28,10,0,0,1,1,10415.46,5544.629,10289.41
"256",0,46,11,0,0,1,1,14753.28,5299.355,0
"257",0,28,12,0,0,0,0,8256.35,5279.661,21602.88
"258",0,27,12,0,1,1,0,17604.01,5222.371,25564.67
"259",0,25,10,0,0,1,1,4335.857,5181.194,12418.81
"260",0,38,8,0,0,1,1,11242.27,5174.032,0
"261",0,26,12,0,1,0,0,7968.338,5109.581,4181.966
"262",0,54,12,0,0,0,0,7165.039,5012.903,0
"263",0,38,8,0,1,1,1,22606.02,4978.887,8720.065
"264",0,23,17,0,0,0,0,0,4876.839,16747.08
"265",0,23,8,0,0,1,1,3595.255,4866.097,2782.559
"266",0,23,12,0,0,1,0,11690.95,4764.048,14065
"267",0,25,12,0,1,1,0,8746.167,4762.258,379.7757
"268",0,25,15,0,0,1,0,7386.436,4738.984,12705.49
"269",0,37,11,0,1,0,1,615.2098,4713.919,0
"270",0,40,12,0,0,1,0,18389.68,4688.855,21857.05
"271",0,19,10,0,0,0,1,5777.878,4672.742,135.9508
"272",0,48,7,0,0,1,1,13326.93,4636.935,0
"273",0,19,12,0,0,0,0,8530.648,4620.823,0
"274",0,16,9,0,0,0,1,2539.21,4579.645,0
"275",0,29,10,0,0,1,1,713.1731,4542.048,7781.708
"276",0,30,16,0,0,0,0,3093.682,4468.645,15538.29
"277",0,22,11,0,0,1,1,8761.841,4463.274,10642.59
"278",0,22,10,0,0,0,1,17268.98,4400.613,2453.026
"279",0,47,10,1,0,1,1,13311.26,4397.032,19330.14
"280",0,25,12,0,1,1,0,2266.872,4361.226,3020.473
"281",0,47,10,1,0,0,1,21918.32,4323.629,19438.02
"282",0,24,12,1,0,1,0,8573.752,4293.194,0
"283",0,20,12,1,0,1,0,2648.929,4273.5,0
"284",0,28,12,1,0,0,0,16722.34,4253.806,7314.747
"285",0,47,11,0,0,0,1,8060.424,4232.323,3358.873
"286",0,50,0,0,0,1,1,10162.72,4218,220.1813
"287",0,18,12,0,0,0,0,2217.89,4191.145,8957.978
"288",0,21,12,0,0,0,0,9665.063,4110.581,1687.564
"289",0,47,11,0,0,1,1,23924.61,4096.258,17358.85
"290",0,21,12,0,0,0,0,2827.222,4056.871,5937.505
"291",0,34,11,0,0,1,1,0,4010.323,18133.18
"292",0,19,12,0,0,1,0,5817.063,3919.016,1066.919
"293",0,44,13,0,0,1,0,8032.994,3881.419,3104.704
"294",0,21,15,0,0,1,0,6951.479,3879.629,0
"295",0,20,12,1,0,0,0,5099.971,3842.032,12718.79
"296",0,51,11,0,0,0,1,48.98167,3813.387,1525.014
"297",0,28,13,0,0,0,0,5260.631,3790.113,9253.524
"298",0,24,15,0,0,0,0,12746.99,3743.565,0
"299",0,28,8,0,1,1,1,8305.332,3718.5,0
"300",0,20,11,0,0,1,1,5822.941,3532.306,11075.56
"301",0,29,12,0,0,1,0,14288.93,3503.661,8133.407
"302",0,23,12,0,0,1,0,14347.71,3482.177,3818.445
"303",0,20,11,1,0,0,1,0,3480.387,5495.665
"304",0,42,7,0,0,1,1,4324.102,3457.113,9856.436
"305",0,43,12,0,0,1,0,14328.12,3453.532,18781.9
"306",0,27,13,0,0,0,0,16406.9,3426.677,5344.937
"307",0,27,4,0,1,1,1,626.9654,3410.565,3367.739
"308",0,25,12,0,0,1,0,21469.65,3405.194,7981.201
"309",0,18,12,0,0,0,0,4729.67,3328.21,12602.05
"310",0,31,16,0,0,1,0,25862.32,3254.806,25564.67
"311",0,27,12,0,0,1,0,4043.927,3231.532,7240.86
"312",0,18,11,0,0,0,1,0,3226.161,15814.63
"313",0,24,7,0,0,1,1,7860.578,3213.629,0
"314",0,23,12,0,0,1,0,7856.66,3213.629,5535.564
"315",0,50,12,0,0,1,0,19929.66,3190.355,18597.19
"316",0,19,12,0,0,0,0,99.92261,3172.452,15436.33
"317",0,23,10,0,0,1,1,15811.28,3145.597,6398.556
"318",0,51,12,0,0,1,0,21001.38,3140.226,16015.6
"319",0,19,11,1,0,0,1,5607.422,3054.29,94.5745
"320",0,20,10,0,0,1,1,3099.56,2970.145,21141.83
"321",0,20,11,0,1,0,1,2868.367,2968.355,7403.41
"322",0,21,12,0,0,0,0,8128.998,2939.71,0
"323",0,39,10,0,0,1,1,0,2886,18761.22
"324",0,36,5,0,0,0,1,3814.692,2873.468,2751.527
"325",0,19,9,1,0,0,1,1079.556,2873.468,14344.29
"326",0,42,6,0,1,1,1,2425.572,2832.29,1907.745
"327",0,20,7,0,0,0,1,1902.448,2792.903,6098.578
"328",0,23,12,0,0,1,0,4954.986,2771.419,0
"329",0,35,12,0,0,1,0,1469.45,2719.5,0
"330",0,18,12,0,0,0,0,881.6701,2696.226,12120.31
"331",0,43,8,0,0,1,1,18338.74,2674.742,6395.601
"332",0,37,14,0,0,1,0,18501.36,2638.935,13429.58
"333",0,24,10,0,0,1,1,4719.874,2565.532,2173.736
"334",0,51,12,0,0,0,0,20742.76,2538.677,1019.631
"335",0,22,11,0,1,0,1,7341.373,2535.097,14187.65
"336",0,19,12,0,0,0,0,336.9939,2518.984,7118.209
"337",0,52,0,0,1,1,1,773.9104,2506.452,0
"338",0,21,12,0,0,0,0,2903.633,2456.323,4787.834
"339",0,24,12,0,0,0,0,9784.578,2413.355,0
"340",0,35,8,0,0,1,1,2241.401,2399.032,9460.406
"341",0,20,13,0,0,0,0,0,2352.484,0
"342",0,17,7,1,0,0,1,1054.086,2286.242,1613.677
"343",0,18,10,1,0,0,1,311.5234,2284.452,8154.095
"344",0,28,12,1,0,0,0,6285.328,2255.806,7310.313
"345",0,25,14,0,1,1,0,1622.273,2239.694,1892.968
"346",0,40,12,0,1,0,0,13616.9,2228.952,876.2919
"347",0,50,3,0,0,1,1,3136.786,2203.887,13976.34
"348",0,48,8,0,0,1,1,16050.31,2116.161,11600.15
"349",0,17,7,0,1,0,1,0,2082.145,6460.621
"350",0,30,12,0,0,1,0,7347.251,2080.355,14475.81
"351",0,30,7,0,0,1,1,574.0652,2010.532,366.4762
"352",0,22,11,0,0,1,1,3030.986,1976.516,0
"353",0,27,12,0,0,1,0,11493.06,1906.694,13419.24
"354",0,25,9,0,0,1,1,23377.97,1901.323,1898.879
"355",0,21,14,0,0,0,0,80.32994,1890.581,6389.69
"356",0,17,10,0,0,0,1,0,1888.79,19993.64
"357",0,39,7,0,0,0,1,7786.126,1844.032,9206.237
"358",0,18,9,1,0,0,1,1183.397,1822.548,803.8833
"359",0,25,12,0,0,1,0,2721.422,1754.516,1037.364
"360",0,20,8,0,0,1,1,2360.916,1741.984,0
"361",0,19,13,0,0,0,0,2366.794,1709.758,0
"362",0,19,11,0,0,0,1,0,1693.645,9853.481
"363",0,22,12,0,0,0,0,10137.25,1679.323,25564.67
"364",0,18,11,1,0,0,1,2068.986,1623.823,20243.38
"365",0,21,10,0,0,0,1,1767.259,1555.79,7675.312
"366",0,24,12,0,0,1,0,7643.1,1546.839,3262.82
"367",0,18,11,0,0,0,1,1273.523,1532.516,12489.75
"368",0,17,10,0,0,0,1,568.1874,1525.355,6231.573
"369",0,17,10,0,0,0,1,0,1503.871,7843.773
"370",0,18,10,0,0,0,1,0,1491.339,237.914
"371",0,53,10,0,1,0,1,7878.212,1489.548,13170.98
"372",0,18,11,1,0,0,1,1191.234,1478.806,3683.972
"373",0,17,10,0,1,0,1,0,1453.742,6918.716
"374",0,26,12,1,0,0,0,0,1448.371,0
"375",0,39,5,0,0,1,1,13082.02,1434.048,18323.81
"376",0,18,12,1,0,0,0,1579.169,1408.984,3057.416
"377",0,23,13,0,0,0,0,601.4949,1394.661,4975.505
"378",0,18,8,0,0,0,1,5023.56,1391.081,6756.166
"379",0,28,10,0,0,1,1,7578.444,1383.919,2404.261
"380",0,32,4,0,0,1,1,0,1378.548,0
"381",0,18,11,1,0,0,1,0,1367.806,33.98771
"382",0,40,10,0,0,1,1,1543.902,1342.742,0
"383",0,21,14,0,0,0,0,8456.196,1330.21,16967.26
"384",0,29,10,0,1,0,1,3732.403,1323.048,6694.101
"385",0,31,6,0,0,0,1,2666.562,1321.258,0
"386",0,46,7,0,0,1,1,19171.43,1317.677,0
"387",0,20,9,0,1,1,1,0,1283.661,0
"388",0,36,18,0,0,1,0,3273.935,1269.339,18227.76
"389",0,45,12,0,0,1,0,16559.72,1265.758,7987.112
"390",0,16,10,0,0,0,1,1026.656,1224.581,6847.785
"391",0,18,12,0,0,0,0,818.9735,1208.468,2232.845
"392",0,40,12,0,1,0,0,11867.28,1195.935,3873.121
"393",0,16,9,0,0,0,1,0,1188.774,2451.548
"394",0,16,10,0,0,0,1,574.0652,1181.613,5578.418
"395",0,28,5,0,1,1,1,10967.98,1178.032,239.3917
"396",0,20,12,0,0,0,0,0,1147.597,15554.55
"397",0,19,8,0,0,1,1,39.18534,1136.855,5327.204
"398",0,16,8,0,0,0,1,0,1113.581,542.3257
"399",0,20,11,0,0,1,1,2547.047,1099.258,0
"400",0,35,10,0,0,1,1,4964.782,1086.726,1745.195
"401",0,32,6,0,1,1,1,979.6334,1036.597,0
"402",0,32,16,1,0,0,0,17135.75,1031.226,0
"403",0,17,9,1,0,0,1,0,981.0968,8900.347
"404",0,16,7,0,0,0,1,0,975.7258,4728.725
"405",0,32,15,0,0,0,0,489.8167,968.5645,7684.178
"406",0,19,12,0,0,0,0,815.055,964.9839,12059.73
"407",0,40,12,0,0,1,0,16851.65,961.4032,17717.94
"408",0,50,7,0,0,1,1,11473.47,956.0323,0
"409",0,39,11,0,0,0,1,0,930.9677,0
"410",0,18,8,0,1,0,1,0,902.3226,1306.31
"411",0,39,10,1,0,0,1,844.444,889.7903,701.9201
"412",0,17,11,0,1,0,1,0,873.6774,7759.542
"413",0,17,5,1,0,0,1,96.00407,868.3065,0
"414",0,19,12,0,0,0,0,2425.572,861.1452,2587.499
"415",0,27,15,0,0,0,0,0,857.5645,3392.86
"416",0,18,11,1,0,0,1,587.78,841.4516,7933.914
"417",0,20,14,0,0,1,0,0,805.6452,1454.083
"418",0,20,12,0,0,1,0,12145.49,791.3226,13683.75
"419",0,19,13,1,0,0,0,1714.358,785.9516,9067.33
"420",0,24,8,0,0,1,1,213.5601,760.8871,2340.719
"421",0,27,12,0,0,1,0,4222.22,751.9355,0
"422",0,19,9,0,0,0,1,773.9104,676.7419,5647.871
"423",0,52,8,1,0,1,1,5454.599,666,0
"424",0,18,11,0,1,0,1,0,630.1935,0
"425",0,16,10,0,1,0,1,0,630.1935,3892.332
"426",0,18,12,0,1,0,0,0,630.1935,4843.988
"427",0,45,12,0,0,0,0,4473.006,608.7097,0
"428",0,21,14,0,0,0,0,9708.167,594.3871,2256.488
"429",0,36,8,0,0,1,1,2715.544,585.4355,0
"430",0,21,13,0,0,0,0,513.3279,578.2742,0
"431",0,41,7,0,0,1,1,19573.08,565.7419,0
"432",0,18,7,0,0,0,1,491.776,558.5806,642.8111
"433",0,39,9,0,0,0,1,11230.52,537.0968,5752.79
"434",0,19,3,0,0,1,1,0,537.0968,0
"435",0,32,13,0,0,1,0,12553.02,524.5645,15353.58
"436",0,16,9,0,0,0,1,0,485.1774,4112.513
"437",0,16,7,0,0,0,1,658.3136,479.8065,6210.885
"438",0,21,9,1,0,0,1,1030.574,470.8548,1223.558
"439",0,22,12,0,0,1,0,12096.51,469.0645,14289.62
"440",0,23,11,0,1,1,1,8946.012,469.0645,4776.012
"441",0,17,8,1,0,0,1,0,451.1613,0
"442",0,21,8,0,0,1,1,5699.507,388.5,8844.194
"443",0,18,10,0,0,0,1,0,386.7097,0
"444",0,24,12,0,0,1,0,9051.813,327.629,8547.171
"445",0,24,12,1,0,1,0,4232.016,320.4677,1273.8
"446",0,16,9,0,0,0,1,0,320.4677,3707.616
"447",0,20,8,0,0,1,1,621.0876,306.1452,5551.819
"448",0,42,8,0,0,0,1,17925.33,300.7742,14116.72
"449",0,17,8,0,1,0,1,391.8534,300.7742,18891.26
"450",0,19,8,0,1,0,1,368.3422,300.7742,18510
"451",0,17,9,1,0,0,1,0,297.1935,54.67588
"452",0,21,14,0,0,0,0,107.7597,293.6129,7698.955
"453",0,16,9,1,0,0,1,0,277.5,3983.951
"454",0,23,13,1,0,0,0,172.4155,272.129,582.2243
"455",0,16,9,0,0,0,1,411.446,254.2258,1725.985
"456",0,17,11,0,1,0,1,803.2994,248.8548,5173.521
"457",0,46,7,0,0,0,1,1081.515,245.2742,0
"458",0,32,10,0,0,1,1,4145.809,238.1129,8245.714
"459",0,18,11,0,0,0,1,131.2709,218.4194,7503.896
"460",0,23,12,0,1,1,0,0,216.629,0
"461",0,18,10,0,0,1,1,0,211.2581,14053.18
"462",0,19,10,1,0,0,1,1056.045,205.8871,0
"463",0,16,7,1,0,0,1,133.2301,205.8871,6145.865
"464",0,26,7,0,0,1,1,1538.024,189.7742,650.1997
"465",0,16,10,0,0,0,1,0,189.7742,2136.793
"466",0,17,10,0,0,0,1,0,182.6129,6423.677
"467",0,17,10,0,0,0,1,0,171.871,1483.637
"468",0,23,8,0,0,1,1,33.30754,166.5,0
"469",0,29,12,0,0,1,0,14641.6,162.9194,9473.705
"470",0,17,10,0,0,0,1,0,152.1774,10301.23
"471",0,49,8,0,0,1,1,14684.7,136.0645,14963.46
"472",0,20,10,0,0,1,1,6563.544,134.2742,15363.92
