OverallQual,TotalBsmtSF,CentralAir,GrLivArea,GarageCars,SalePrice,G_Fin,G_RFn,G_Unf,PV_N,PV_P,PV_Y
10,3094,1,2402,3,555000,1,0,0,0,0,1
4,1440,0,1440,0,118000,0,0,0,0,0,1
5,1078,1,1573,2,162900,0,0,1,0,1,0
7,1258,1,1258,3,172500,1,0,0,0,0,1
7,915,1,1908,2,210000,0,0,1,0,0,1
6,1436,1,1689,2,127500,0,0,1,0,0,1
6,1517,1,1888,2,190000,1,0,0,0,0,1
7,930,1,1886,2,199900,1,0,0,0,0,1
6,780,1,1376,1,119500,0,0,1,1,0,0
3,649,1,1183,1,120000,0,0,1,0,0,1
6,813,1,813,1,110000,0,0,1,1,0,0
7,1533,1,1533,2,280000,0,0,1,0,0,1
6,872,1,1756,2,204000,1,0,0,0,0,1
8,768,1,1590,2,210000,0,1,0,0,0,1
5,1728,1,1728,2,188000,0,0,1,0,0,1
7,1242,1,1242,2,175500,0,0,1,0,0,1
5,624,0,1344,3,98000,0,0,1,0,0,1
4,1364,1,1663,2,256000,1,0,0,0,0,1
8,588,1,1666,1,161000,0,0,1,0,0,1
5,709,1,1203,1,110000,0,0,1,0,0,1
8,832,1,1935,2,263435,1,0,0,0,0,1
7,560,1,1135,2,155000,0,1,0,0,0,1
5,864,1,864,1,62383,0,0,1,0,0,1
6,715,1,1660,1,188700,0,0,1,0,0,1
5,1040,1,1040,0,124000,0,0,0,0,0,1
7,1375,1,1414,2,178740,1,0,0,0,0,1
7,1277,1,1277,2,167000,0,0,1,0,0,1
5,728,1,1644,1,146500,0,0,1,0,0,1
8,1626,1,1634,3,250000,0,1,0,0,0,1
6,832,1,1710,2,187000,0,1,0,0,0,1
8,1488,1,1502,2,212000,0,1,0,0,0,1
7,808,1,1969,2,190000,0,1,0,0,0,1
6,547,1,1072,2,148000,0,1,0,0,0,1
8,1976,1,1976,3,440000,0,1,0,0,0,1
8,1494,1,1652,2,251000,0,1,0,0,0,1
5,970,1,970,2,132500,0,0,1,0,0,1
6,1478,1,1493,2,208900,1,0,0,0,0,1
9,2153,1,2643,3,380000,1,0,0,0,0,1
8,1705,1,1718,3,297000,0,1,0,0,0,1
4,907,1,1131,2,89471,0,0,1,0,0,1
9,1833,1,1850,3,326000,1,0,0,0,0,1
9,1792,1,1792,3,374000,1,0,0,0,0,1
7,910,1,1826,1,155000,0,0,1,0,0,1
6,1216,1,1216,2,164000,0,0,1,0,0,1
5,999,1,999,1,132500,0,0,1,0,0,1
5,1113,1,1113,1,147000,0,0,1,0,0,1
5,1073,1,1073,2,156000,0,1,0,0,0,1
5,1484,1,1484,2,175000,0,0,1,0,0,1
5,954,0,2414,2,160000,0,0,1,1,0,0
4,630,1,630,1,86000,0,0,1,0,0,1
5,264,1,1304,1,115000,1,0,0,0,0,1
6,806,1,1578,1,133000,0,0,1,0,0,1
6,728,1,1456,2,172785,0,1,0,0,0,1
5,1269,1,1269,1,155000,0,0,1,0,0,1
5,190,1,886,1,91300,0,0,1,0,0,1
4,720,0,720,0,34900,0,0,0,1,0,0
8,3200,1,3228,2,430000,0,1,0,0,0,1
7,1026,1,1820,1,184000,0,0,1,1,0,0
5,864,1,899,1,130000,1,0,0,0,0,1
5,912,1,912,1,120000,1,0,0,0,0,1
6,672,1,1218,1,113000,0,0,1,0,0,1
7,866,1,1768,2,226700,0,1,0,0,0,1
5,1214,1,1214,2,140000,0,0,1,0,0,1
7,1501,1,1801,2,289000,1,0,0,0,0,1
6,855,1,1322,2,147000,0,0,1,0,0,1
5,960,1,1960,2,124500,0,0,1,1,0,0
8,777,1,1911,2,215000,0,1,0,0,0,1
6,1218,1,1218,2,208300,1,0,0,0,0,1
7,689,1,1378,2,161000,0,0,1,1,0,0
5,1041,1,1041,1,124500,0,1,0,0,0,1
5,1008,1,1363,1,164900,0,0,1,0,0,1
7,1368,1,1368,2,202665,0,1,0,0,0,1
5,864,1,864,2,129900,0,0,1,0,0,1
6,1084,1,1080,2,134000,0,0,1,0,0,1
5,768,0,789,1,96500,0,0,1,0,0,1
10,2006,1,2020,3,402861,1,0,0,0,0,1
6,689,1,2119,2,158000,0,1,0,0,0,1
7,1264,1,2344,3,265000,0,1,0,0,0,1
6,794,1,1796,2,211000,0,1,0,0,0,1
7,1276,1,2080,1,234000,0,0,1,0,0,1
4,0,0,1294,0,106250,0,0,0,1,0,0
6,1244,1,1244,1,150000,0,0,1,0,0,1
6,1004,1,1664,2,159000,0,0,1,0,0,1
10,3138,1,4676,3,184750,1,0,0,0,0,1
7,1379,1,2398,3,315750,1,0,0,0,0,1
