label,id,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11
0,59004078,7,1257.5,1,84000.0,1,11,5,106,5,71000,173.20508080000002
1,59000783,4,1305.5,3,59000.0,2,8,5,113,4,72004,1.0
0,58987210,5,1223.0,3,90000.0,2,15,5,101,3,450091,223.6067977
0,54989680,4,1214.0,3,118000.0,2,8,5,110,4,71000,223.6067977
0,54990315,4,1235.0,3,84000.0,2,8,5,82,5,60044,1.0
0,58996127,7,1266.5,1,165000.0,2,11,5,111,3,60084,1.0
0,59005099,4,1304.0,1,100000.0,2,8,-1,113,3,350098,158.11388300000002
0,58991420,7,,2,64000.0,2,11,5,113,4,151009,159.88120590000003
0,58991252,7,,3,108000.0,1,11,-1,111,4,450006,158.11388300000002
0,58994510,7,1244.0,3,59000.0,2,11,5,79,3,60040,173.20508080000002
1,58985495,5,1314.5,3,177000.0,2,15,5,105,5,60059,1.0
0,58997265,4,1386.5,3,296000.0,2,9,5,109,5,151300,223.6067977
0,58995669,7,,3,35000.0,2,12,-1,86,3,650070,161.8548733
0,54992046,4,1257.5,1,91000.0,2,8,5,90,3,72000,1.0
0,59000764,4,1269.5,3,107000.0,1,8,9,81,3,60040,173.20508080000002
0,58997788,4,1304.0,3,60000.0,2,8,2,95,5,60058,223.6067977
0,58996671,7,1283.0,3,90000.0,2,11,5,85,5,60000,1.0
0,59003535,4,,2,139000.0,2,8,5,111,3,60036,1.0
1,54989200,4,,2,60000.0,2,8,9,100,5,151300,172.3223723
1,58989344,7,1265.0,3,70000.0,2,11,-1,81,5,350704,316.22776600000003
0,54988214,7,1256.0,1,126000.0,2,11,9,102,3,350705,158.11388300000002
0,58990663,7,1314.5,3,150000.0,2,11,10,113,4,60023,187.08286930000003
0,59005290,4,1320.5,1,138000.0,2,8,9,108,3,60000,212.407627
0,58982606,5,1377.5,3,96000.0,2,15,5,87,5,60044,207.3644135
0,58993672,7,1415.0,3,155000.0,2,11,5,107,3,60005,212.1320344
0,58982803,5,1272.5,3,143000.0,2,15,5,114,4,72001,223.6067977
0,58998809,4,1278.5,3,186000.0,2,8,5,100,5,72000,173.20508080000002
1,58994301,7,1254.5,3,100000.0,2,11,5,84,5,151300,158.11388300000002
1,59002746,4,1239.5,3,90000.0,2,8,5,100,3,60019,173.20508080000002
0,58999985,7,1281.5,3,98000.0,2,11,9,114,4,60019,1.0
0,58997200,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172
0,54988052,7,1350.5,1,110000.0,2,11,-1,108,5,71000,1.0
0,59005852,4,1338.5,1,112000.0,2,8,5,90,3,330008,1.0
0,58986215,5,1250.0,1,167000.0,2,15,-1,90,5,450080,141.4213562
0,59002872,4,1307.0,1,133000.0,2,8,5,110,3,60043,1.0
0,58995080,7,1235.0,1,75000.0,2,11,5,91,5,350092,200.0
1,58983822,5,1308.5,3,30000.0,2,15,5,99,5,60062,1.0
0,59003155,4,1340.0,3,116000.0,2,8,9,104,5,72000,1.0
0,58999690,4,1214.0,3,81000.0,2,8,9,101,4,60040,1.0
0,58995904,7,1230.5,1,129000.0,2,11,5,88,3,60043,1.0
1,54990680,4,1241.0,3,60000.0,2,8,5,115,5,60036,1.0
0,58985627,5,,3,95000.0,2,15,-1,112,4,450006,173.20508080000002
0,58990758,7,1284.5,3,106000.0,2,11,9,104,4,60036,1.0
0,59003223,4,1308.5,1,35000.0,2,8,5,103,5,151300,1.0
0,59003779,4,1227.5,3,62000.0,2,8,5,110,5,60069,1.0
0,58987426,5,1277.0,1,142000.0,2,15,-1,111,4,450002,197.48417659999998
0,58993764,7,1277.0,3,98000.0,2,11,5,92,5,60036,1.0
1,58984726,5,1347.5,3,150000.0,2,15,5,110,5,72000,538.5387637
0,58986751,5,,2,82000.0,2,15,5,106,5,60058,1.0
0,58993992,7,1266.5,3,89000.0,2,11,5,89,3,60091,1.0
1,58987541,5,1268.0,3,91000.0,2,15,5,112,4,71008,1.0
0,58984801,5,1265.0,1,90000.0,2,15,-1,110,5,450018,187.08286930000003
0,58987142,5,1310.0,1,500000.0,2,15,5,103,5,452306,244.94897430000003
0,58990112,7,1290.5,1,99000.0,2,11,-1,110,5,450062,200.0
0,58987511,5,1272.5,3,97000.0,2,15,8,105,5,72000,1.0
0,58983291,5,1304.0,3,390000.0,2,15,5,91,5,60050,1.0
0,59004230,4,1277.0,3,100000.0,2,8,5,100,5,60000,223.6067977
0,59005708,4,1356.5,1,148000.0,2,8,5,83,3,60001,1.0
1,58993847,7,1262.0,3,172000.0,2,11,9,112,4,72000,262.11066370000003
0,58991194,7,1247.0,3,71000.0,1,11,9,95,4,60026,200.7560709
0,58993040,7,1235.0,3,89000.0,2,11,5,115,5,60065,1.0
0,59002016,4,1196.0,3,65000.0,2,8,-1,108,4,72001,1.0
1,58982721,5,1269.5,3,86000.0,2,15,9,89,5,60019,1.0
0,54983915,5,1256.0,3,110000.0,2,15,9,107,5,60018,1.0
0,58995594,7,1254.5,3,97000.0,2,11,5,83,3,60017,282.8427125
0,58984646,5,1239.5,3,78000.0,2,15,5,112,4,450015,214.4761059
0,54986089,7,1241.0,3,63000.0,2,11,5,107,5,72000,1.0
0,54992154,4,1341.5,1,91000.0,1,8,5,100,4,151300,173.6605885
0,59002314,4,1317.5,3,293000.0,2,8,5,100,5,60018,1.0
1,54982549,5,1326.5,3,30000.0,2,15,5,110,5,60005,1.0
0,58984702,5,1310.0,3,325000.0,2,15,5,83,3,71000,1.0
0,54983466,5,1274.0,3,127000.0,2,15,9,113,4,72001,212.1320344
1,54984241,5,,2,30000.0,2,15,5,104,3,72002,207.3644135
0,54985473,7,1317.5,3,150000.0,2,11,5,112,5,450042,345.7947368
0,54985977,7,1346.0,1,112000.0,2,11,5,85,5,60064,200.0
0,58988021,5,1277.0,1,101000.0,2,15,5,111,4,60091,1.0
0,58999931,4,1338.5,3,165000.0,2,8,5,111,5,151300,288.09720580000004
0,58992868,7,1316.0,1,117000.0,2,11,-1,110,5,361013,1.0
0,59001343,4,1272.5,3,170000.0,2,8,5,110,4,60019,1.0
0,58987886,5,1269.5,1,175000.0,2,15,5,110,5,350057,173.20508080000002
0,58999555,4,1283.0,3,94000.0,2,8,9,64,5,60017,1.0
0,54987199,7,1329.5,1,150000.0,2,11,-1,86,5,60036,1.0
0,58994324,7,1266.5,3,130000.0,2,11,9,100,5,60005,173.20508080000002
0,58987097,5,1248.5,3,98000.0,2,15,5,110,4,550003,178.8854382
0,58991130,7,1340.0,3,341000.0,2,11,5,112,5,72001,1.0
1,58982795,5,1292.0,3,119000.0,2,15,9,107,4,72001,187.08286930000003
0,58994149,7,1266.5,3,120000.0,1,11,9,110,3,60029,316.22776600000003
1,54982721,5,,2,90000.0,2,15,5,92,5,72014,1.0
0,59004716,4,1268.0,1,104000.0,2,8,9,95,5,60027,1.0
1,54988411,7,1242.5,3,56000.0,2,11,5,113,4,151300,1.0
1,58993621,7,1272.5,3,80000.0,2,11,9,86,4,60043,1.0
0,59003358,4,,2,57000.0,2,8,-1,100,3,72000,194.18290349999998
0,58991973,7,1298.0,1,71000.0,2,11,-1,113,4,72000,1.0
0,59002553,4,1298.0,3,101000.0,2,8,9,105,3,60052,212.1320344
0,58997580,4,,2,126000.0,2,8,-1,109,5,330012,1.0
0,58995727,7,1214.0,3,58000.0,2,11,5,112,4,71006,1.0
1,59001882,7,1355.0,3,94000.0,2,11,5,114,4,510044,216.3816074
1,58995389,7,1289.0,1,107000.0,2,11,5,102,3,151300,1.0
0,54988373,7,1295.0,1,116000.0,2,11,9,108,4,151300,1.0
0,58991722,7,1308.5,3,143000.0,2,11,5,100,3,151009,173.20508080000002
0,58990958,7,,2,53000.0,2,11,5,105,4,151307,186.2229846
1,54985687,7,1188.5,3,90000.0,2,11,5,98,5,60017,1.0
0,59000104,4,1290.5,1,118000.0,1,8,5,100,5,60023,141.4213562
1,58986809,5,1305.5,3,35000.0,2,15,9,115,4,72000,1.0
0,58993548,7,1230.5,3,114000.0,2,11,5,112,4,72000,254.9509757
0,54986879,7,,2,179000.0,2,11,5,113,4,450002,267.58176319999995
0,54983822,5,,3,94000.0,2,15,5,113,4,60057,193.6362569
0,59004621,4,1287.5,3,110000.0,2,8,9,80,5,151300,1.0
0,54990474,4,1290.5,1,103000.0,2,8,9,112,4,60084,176.0681686
1,58985009,5,1367.0,3,167000.0,2,15,5,95,5,60021,244.94897430000003
0,58993402,7,1419.5,1,89000.0,2,11,5,110,3,350060,337.106808
0,58982806,5,1307.0,3,91000.0,2,15,5,110,5,60023,200.0
1,58982754,5,1322.0,3,195000.0,2,15,5,90,3,60033,240.83189159999998
0,58986146,5,1250.0,3,93000.0,2,15,7,111,5,350062,244.94897430000003
0,59001898,4,1179.5,3,56000.0,2,8,5,99,3,72000,234.52078799999998
0,59004966,4,,2,39000.0,2,8,5,113,4,72015,172.4731863
0,58987077,5,1269.5,1,77000.0,1,15,-1,84,5,450000,167.33200530000002
0,59004141,4,1316.0,1,127000.0,2,8,-1,95,5,330013,1.0
0,58992060,7,1272.5,1,229000.0,2,11,-1,112,3,450000,173.20508080000002
1,58990934,7,1262.0,3,151000.0,2,11,5,114,4,510102,251.968252
0,58983730,5,1443.5,3,155000.0,1,15,5,104,5,60000,254.9509757
0,58988129,5,1187.0,3,102000.0,2,15,5,113,4,450081,197.48417659999998
0,59000510,4,1338.5,1,107000.0,2,8,9,82,5,151300,1.0
0,59000066,4,,2,259000.0,1,8,5,110,4,72000,200.0
0,58984937,5,1296.5,1,130000.0,2,15,-1,86,4,60018,158.11388300000002
1,58996558,7,1355.0,1,160000.0,2,11,5,84,3,151304,173.20508080000002
0,59003949,4,1253.0,1,468000.0,2,8,5,81,5,60016,204.93901530000002
0,58991249,7,1296.5,3,138000.0,1,11,5,100,5,60027,158.11388300000002
0,54988614,7,,2,106000.0,2,11,-1,90,5,60033,1.0
1,59003162,4,,2,50000.0,2,8,5,87,5,60033,167.93451100000001
1,58987961,5,1302.5,1,177000.0,2,15,9,80,3,371200,158.11388300000002
0,54989304,4,1238.0,3,125000.0,2,8,9,85,5,60002,1.0
0,58983307,5,1214.0,3,56000.0,2,15,5,101,5,60064,192.1639925
0,54989018,4,,2,45000.0,2,8,5,85,4,151307,172.1307642
1,58989056,7,1290.5,3,113000.0,2,11,5,109,5,60091,204.93901530000002
0,58991324,7,1245.5,3,58000.0,2,11,5,101,5,60058,200.0
0,58982668,5,1316.0,3,500000.0,2,15,5,104,5,72000,316.22776600000003
0,59002933,4,,2,97000.0,2,8,5,110,4,72001,196.3644571
0,54985624,7,1332.5,3,98000.0,2,11,5,107,5,60033,262.12783140000005
0,58991302,7,1290.5,1,108000.0,1,11,5,95,5,60064,1.0
0,58988871,7,1259.0,3,147000.0,2,11,9,110,5,350029,421.07006540000003
1,59000336,4,,2,446000.0,2,8,-1,90,5,60014,1.0
0,58998876,4,1245.5,3,87000.0,2,8,5,112,5,60033,222.13284309999997
0,58983272,5,1296.5,3,148000.0,2,15,5,100,4,60023,187.08286930000003
0,58991823,7,,2,75000.0,2,11,9,111,4,151009,173.20508080000002
0,58997994,4,1349.0,3,139000.0,2,8,5,109,5,151304,212.1320344
0,58989132,7,1319.0,3,88000.0,2,11,5,114,4,151300,228.4513077
0,54984671,5,1301.0,1,114000.0,2,15,5,106,3,351106,187.08286930000003
1,59005571,4,1241.0,3,60000.0,2,8,5,107,3,151300,187.08286930000003
0,58993796,7,1397.0,1,131000.0,2,11,5,95,5,60001,1.0
0,54983353,5,1224.5,3,56000.0,2,15,5,113,4,151307,1.0
1,54987489,7,1307.0,1,182000.0,2,11,-1,101,5,350052,200.0
0,54988427,7,1236.5,1,150000.0,2,11,9,110,4,450000,212.1320344
1,59000077,4,1305.5,3,128000.0,2,8,5,114,4,72000,291.1889421
0,59004521,4,1305.5,1,117000.0,2,8,5,112,5,60029,1.0
1,54990604,4,1238.0,3,75000.0,2,8,5,104,4,72001,1.0
0,54984913,5,1229.0,3,50000.0,2,15,9,110,5,450071,200.0
0,58984889,5,1305.5,3,130000.0,2,15,5,100,5,60016,1.0
1,58991158,7,1205.0,3,77000.0,2,11,-1,85,5,151300,273.86127880000004
0,58985548,5,1266.5,3,82000.0,2,15,9,114,1,60047,200.0
1,54982387,2,1349.0,1,286000.0,2,3,-1,80,3,361003,1.0
0,58989891,7,,2,63000.0,2,11,5,84,5,60019,158.11388300000002
0,54988581,7,1247.0,3,66000.0,2,11,-1,109,5,60041,1.0
0,54987763,7,1232.0,1,96000.0,2,11,9,88,5,151300,233.520877
0,54985320,7,1367.0,1,80000.0,2,12,-1,112,5,60000,245.58501580000004
0,59005275,4,1298.0,1,165000.0,2,8,9,90,3,72000,234.4504212
1,58987220,5,1259.0,3,94000.0,2,15,9,105,3,350063,200.0
0,58995903,7,1233.5,3,78000.0,2,11,5,105,3,60036,1.0
0,59000498,4,1352.0,1,128000.0,2,8,5,72,3,60058,1.0
0,58993744,7,1370.0,3,394000.0,2,11,5,112,5,510009,445.0382006
1,59003325,4,1325.0,1,126000.0,2,8,9,106,5,71003,1.0
1,59002803,4,1295.0,1,35000.0,2,8,5,90,3,151300,1.0
0,59003192,4,1329.5,1,181000.0,2,8,5,111,3,340017,223.6067977
0,58990897,7,1310.0,3,128000.0,2,11,9,105,5,60052,223.6067977
0,59004828,4,1274.0,1,132000.0,2,8,5,107,3,60016,202.4845673
0,58993767,7,1326.5,1,91000.0,1,11,9,106,4,450080,291.5475947
1,58989746,7,1334.0,3,86000.0,2,11,5,113,5,510065,168.5140944
0,54986167,7,1256.0,3,130000.0,1,11,9,105,5,60058,187.08286930000003
0,59001201,4,1320.5,1,122000.0,2,8,5,103,5,60046,1.0
0,59001692,4,1257.5,1,110000.0,2,8,5,89,3,350063,189.7366596
0,59000231,4,1425.5,3,146000.0,2,8,5,113,5,60062,1.0
0,58997422,4,1248.5,3,50000.0,2,8,-1,100,3,332345,387.29833460000003
0,54985176,7,1328.0,3,71000.0,2,11,5,109,5,60004,444.4738462
0,58995493,7,,2,73000.0,2,11,9,109,3,151300,189.8051633
0,59002534,4,1242.5,3,70000.0,1,8,5,103,3,60040,181.65902119999998
0,58995172,7,1263.5,3,35000.0,2,12,-1,115,4,350012,271.11621119999995
0,59000340,4,1313.0,3,98000.0,1,8,9,103,5,151300,173.20508080000002
1,58982978,5,1322.0,3,30000.0,2,15,5,91,5,60047,164.3167673
1,59002226,4,,2,48000.0,1,8,5,101,5,72000,165.37533069999998
1,58993990,7,1263.5,3,53000.0,2,11,5,111,5,60095,1.0
0,58983850,5,1221.5,3,97000.0,2,15,9,109,4,72001,263.3097036
0,58995787,7,1289.0,3,68000.0,1,11,5,86,3,60016,173.20508080000002
1,54984978,5,,2,58000.0,2,15,5,95,3,60075,212.1320344
0,58988287,5,1307.0,1,39000.0,2,15,9,114,4,450016,160.44625269999997
0,58992687,7,,3,72000.0,2,11,-1,107,4,450048,141.4213562
0,54989469,4,1190.0,3,128000.0,2,8,5,105,5,72000,1.0
0,59002231,4,1353.5,3,125000.0,2,8,9,107,5,60093,1.0
0,54984717,5,1257.5,3,35000.0,2,15,-1,89,5,60005,1.0
1,58982857,5,1272.5,3,76000.0,2,15,5,104,5,60084,1.0
1,54983561,5,,2,47000.0,2,15,5,112,4,510037,175.8266191
0,58993789,7,1238.0,3,59000.0,2,11,9,112,5,60000,1.0
1,54985654,7,1280.0,3,120000.0,2,11,5,115,5,151300,218.604666
0,54989251,4,1263.5,3,100000.0,2,8,5,64,5,60047,1.0
0,59003000,4,1293.5,1,149000.0,2,8,-1,96,3,60023,1.0
1,54987040,7,1190.0,3,95000.0,2,11,5,88,3,60019,1.0
0,54985988,7,1262.0,1,104000.0,2,11,8,107,4,60045,1.0
0,58986533,5,1358.0,1,101000.0,2,15,-1,111,5,72000,1.0
0,58982387,1,1217.0,2,300000.0,2,4,-1,79,5,550007,1.0
1,58984255,5,1223.0,3,50000.0,2,15,5,89,3,151300,1.0
0,54988697,7,1287.5,1,88000.0,2,11,-1,113,4,71003,1.0
1,54982856,5,1361.0,3,30000.0,1,15,5,110,5,60033,264.57513109999996
0,58988923,7,1223.0,3,68000.0,1,11,5,84,5,60014,158.11388300000002
0,59004856,4,,2,99000.0,2,8,5,90,3,60036,188.06647759999998
0,54990128,4,,2,105000.0,2,8,9,110,5,72000,187.0561413
0,54986034,7,1298.0,1,114000.0,2,11,5,103,3,60014,173.20508080000002
1,54986429,7,1326.5,3,208000.0,2,11,5,105,4,510070,279.6640842
0,58988867,7,1170.5,3,71000.0,2,11,5,111,4,151307,200.0
0,54987401,7,1325.0,1,50000.0,2,12,-1,105,5,350012,225.22877259999999
0,59002062,4,1320.5,1,123000.0,2,8,5,105,3,332444,1.0
0,59001353,4,1256.0,3,120000.0,2,8,5,105,5,72015,1.0
0,58996494,7,1304.0,1,98000.0,2,11,5,113,4,151300,180.2775638
0,58987161,5,,2,48000.0,2,15,5,107,4,450008,178.0056179
0,54983470,5,1238.0,3,104000.0,2,15,7,110,4,450075,243.03703419999997
0,59004000,4,1214.0,3,82000.0,1,8,5,100,5,60019,167.33200530000002
0,58992602,7,1368.5,3,390000.0,2,11,5,101,5,60024,173.20508080000002
0,54985177,7,1262.0,3,121000.0,2,11,5,106,5,151300,387.356425
0,58990273,7,1362.5,3,83000.0,2,11,9,100,4,151300,174.20677369999999
0,54988633,7,1253.0,1,50000.0,2,11,5,112,4,72049,184.3637708
0,54986068,7,1220.0,3,263000.0,2,11,9,90,2,151300,1.0
0,58987963,5,1236.5,1,52000.0,2,15,5,112,4,550009,172.61517890000002
0,54985523,7,1223.0,3,97000.0,2,11,5,109,3,450003,187.08286930000003
0,58999697,4,1290.5,3,140000.0,2,8,9,101,5,60063,1.0
0,59002213,4,1305.5,1,123000.0,2,8,5,106,3,330008,1.0
0,54983331,5,1241.0,3,30000.0,2,15,5,80,5,60006,1.0
0,58998938,4,1397.0,3,191000.0,2,8,9,114,4,72000,300.4080558
0,54990331,4,1314.5,1,177000.0,2,8,-1,112,5,60000,200.0
0,59000853,4,1305.5,1,118000.0,2,8,9,112,4,151300,223.6067977
0,59001863,4,1223.0,3,77000.0,2,8,9,111,5,72000,1.0
0,58993710,7,1304.0,1,130000.0,2,11,5,111,4,450046,223.6067977
0,54987936,7,1223.0,3,72000.0,2,11,-1,114,5,151300,167.33200530000002
0,59002170,4,1256.0,3,141000.0,2,8,5,84,3,60031,223.6067977
0,58996882,7,1233.5,3,59000.0,2,11,5,91,3,450052,387.29833460000003
0,58990235,7,1281.5,1,304000.0,2,11,-1,111,4,450001,244.94897430000003
1,54989257,4,1242.5,3,56000.0,2,8,-1,85,5,330007,1.0
1,58994340,7,1281.5,1,75000.0,2,11,5,87,5,72049,1.0
0,58989150,7,1328.0,3,182000.0,2,11,5,98,5,72001,173.20508080000002
1,58995703,7,,3,75000.0,2,11,9,100,5,450018,353.55339060000006
0,59004349,7,1277.0,1,119000.0,1,11,5,105,3,72000,217.4741364
0,58990289,7,1335.5,3,185000.0,2,11,5,100,5,351106,212.1320344
0,59001124,4,1239.5,3,85000.0,2,8,5,66,5,72000,1.0
1,58993373,7,1299.5,1,135000.0,2,11,5,87,3,350705,187.08286930000003
1,59001563,4,1214.0,3,56000.0,2,8,5,109,3,151300,200.0
0,59000457,4,,2,90000.0,2,8,5,111,4,72001,188.92591140000002
0,58994986,7,1298.0,1,128000.0,2,11,5,92,5,151300,173.20508080000002
0,58988758,7,1419.5,3,61000.0,2,11,5,80,5,151300,200.4594722
0,54984214,5,1241.0,3,51000.0,2,15,5,88,5,151300,1.0
0,54987487,7,1304.0,3,135000.0,2,11,5,90,3,550109,282.8427125
0,58991921,7,1301.0,1,75000.0,2,11,7,112,4,72000,1.0
0,58990850,7,1266.5,3,110000.0,1,11,5,99,5,151300,173.20508080000002
1,59005881,4,,2,94000.0,2,8,-1,113,4,72000,1.0
0,54983307,5,1269.5,1,180000.0,1,15,5,90,3,151009,173.20508080000002
1,58988200,5,1308.5,3,39000.0,2,15,5,82,3,450018,159.9843742
0,59001184,4,1304.0,3,35000.0,2,8,9,90,5,60047,1.0
0,54985410,7,1304.0,3,290000.0,2,11,5,111,4,60000,310.3836336
0,58993739,7,1307.0,1,80000.0,2,11,5,95,5,60026,1.0
0,58988886,7,1235.0,3,68000.0,2,11,5,110,5,450017,187.08286930000003
0,54989788,4,1277.0,1,162000.0,2,8,5,85,5,151304,212.1320344
1,58998919,4,1253.0,3,84000.0,2,8,5,107,4,72001,173.20508080000002
0,58988250,5,1242.5,3,30000.0,2,15,5,80,3,60050,200.0
1,58994121,7,1241.0,3,65000.0,2,11,9,110,3,151011,1.0
0,58983271,5,1116.5,3,214000.0,2,15,9,112,4,60019,200.0
0,58998637,4,1287.5,3,113000.0,2,8,5,110,4,151300,1.0
0,54983719,5,1251.5,3,106000.0,2,15,5,83,5,350012,223.6067977
0,54992448,7,1350.5,1,137000.0,2,11,5,100,3,60048,178.8854382
0,58986051,5,1305.5,3,72000.0,2,15,5,100,5,151300,1.0
0,58983865,5,1388.0,3,75000.0,2,15,5,113,5,450027,222.29709849999998
0,58996591,7,1320.5,1,123000.0,2,11,5,113,4,60091,1.0
1,58988697,7,,2,50000.0,2,11,5,112,5,72000,181.5543996
