,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,label
3739,7.0,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9.0,7,1
2136,7.9,0.18,0.36,5.9,0.057999999999999996,31,132,0.995,3.25,0.52,10.9,6,1
4361,6.5,0.2,0.33,1.5,0.039,36,110,0.99008,3.22,0.65,12.0,6,1
2032,6.5,0.25,0.2,1.4,0.024,29,101,0.9916,3.24,0.54,10.8,6,1
2042,5.6,0.13,0.27,4.8,0.027999999999999997,22,104,0.9948,3.34,0.45,9.2,6,1
589,7.0,0.23,0.33,5.8,0.04,25,136,0.995,3.19,0.58,9.5,6,1
2318,7.5,0.26,0.59,11.8,0.046,58,164,0.9981399999999999,3.17,0.46,8.9,4,1
4358,6.5,0.23,0.2,7.5,0.05,44,179,0.9950399999999999,3.18,0.48,9.53333333333333,5,1
2507,7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,7,1
4029,6.1,0.28,0.3,7.75,0.031,33,139,0.9929600000000001,3.22,0.46,11.0,6,1
4822,6.8,0.23,0.48,1.5,0.036000000000000004,35,165,0.9916200000000001,3.18,0.45,11.3,6,1
1821,7.4,0.29,0.31,1.7,0.035,23,110,0.9926,3.07,0.38,10.9,5,1
3789,6.6,0.26,0.52,8.2,0.047,52,191,0.99541,3.16,0.47,9.5,6,1
228,6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6,1
2820,6.7,0.325,0.82,1.2,0.152,49,120,0.9931200000000001,2.99,0.38,9.2,5,1
1354,7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9.0,5,1
3023,7.0,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11.0,6,1
3382,6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,7,1
2573,6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,5,1
3628,6.4,0.38,0.2,5.3,0.11699999999999999,57,181,0.99459,3.24,0.43,9.5,6,1
3370,6.0,0.29,0.25,1.4,0.033,30,114,0.9879399999999999,3.08,0.43,13.2,6,1
4758,6.5,0.2,0.35,3.9,0.04,27,140,0.9910200000000001,2.98,0.53,11.8,6,1
16,6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6,1
2156,7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,4,1
178,6.0,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4,1
3527,7.6,0.23,0.29,8.6,0.053,65,146,0.9963,3.11,0.32,9.8,6,1
2780,6.2,0.235,0.34,1.9,0.036000000000000004,4,117,0.9903200000000001,3.4,0.44,12.2,5,1
4442,6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,5,1
414,7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9.0,6,1
4682,6.8,0.32,0.33,0.7,0.027000000000000003,15,66,0.9899,3.11,0.31,11.8,6,1
282,6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,4,1
1177,6.8,0.25,0.29,2.0,0.042,19,189,0.9952,3.46,0.54,10.2,6,1
4754,6.4,0.19,0.35,10.2,0.043,40,106,0.9963200000000001,3.16,0.5,9.7,6,1
4134,6.8,0.27,0.28,7.8,0.038,26,89,0.9915,3.24,0.34,12.5,6,1
1433,7.1,0.29,0.49,1.2,0.031,32,99,0.9893,3.07,0.33,12.2,6,1
670,7.8,0.42,0.26,9.2,0.057999999999999996,34,199,0.9972,3.14,0.55,9.3,6,1
2002,7.6,0.17,0.35,1.6,0.047,43,154,0.9934,3.36,0.69,11.1,6,1
63,6.6,0.38,0.15,4.6,0.044000000000000004,25,78,0.9931,3.11,0.38,10.2,6,1
1680,7.6,0.32,0.34,18.35,0.054000000000000006,44,197,1.0008,3.22,0.55,9.0,5,1
2322,6.1,0.41,0.04,1.3,0.036000000000000004,23,121,0.9922799999999999,3.24,0.61,9.9,6,1
1094,7.4,0.24,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,5,1
521,7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5,1
2171,7.4,0.19,0.3,12.8,0.053,48,229,0.9986,3.14,0.49,9.1,7,1
1571,7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6,1
931,6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5,1
2555,6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,7,1
1004,5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6,1
3103,7.0,0.25,0.45,2.3,0.045,40,118,0.99064,3.16,0.48,11.9,7,1
4216,7.0,0.44,0.24,12.1,0.055999999999999994,68,210,0.99718,3.05,0.5,9.5,5,1
188,6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8,1
1062,6.7,0.26,0.26,4.0,0.079,35,216,0.9956,3.31,0.68,9.5,5,1
3966,5.4,0.185,0.19,7.1,0.048,36,110,0.9943799999999999,3.26,0.41,9.5,6,1
1540,7.1,0.18,0.74,15.6,0.044000000000000004,44,176,0.9996,3.38,0.67,9.0,6,1
3864,6.6,0.39,0.22,4.0,0.038,17,98,0.99018,3.25,0.53,13.0,7,1
4038,6.4,0.29,0.57,1.0,0.06,15,120,0.9924,3.06,0.41,9.5,5,1
4556,6.1,0.2,0.4,1.9,0.027999999999999997,32,138,0.9914,3.26,0.72,11.7,5,1
451,6.1,0.2,0.25,1.2,0.038,34,128,0.9921,3.24,0.44,10.1,5,1
3141,5.9,0.33,0.32,8.1,0.038,9,34,0.9911,3.22,0.36,12.7,7,1
3576,7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,5,1
2667,6.6,0.12,0.25,1.4,0.039,21,131,0.9911399999999999,3.2,0.45,11.2,7,1
4745,6.1,0.26,0.25,2.9,0.047,289,440,0.9931399999999999,3.44,0.64,10.5,3,1
315,6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,6,1
1738,7.5,0.15,0.38,1.8,0.054000000000000006,19,101,0.9946,3.24,0.44,10.0,5,1
1992,7.0,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,5,1
1890,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5,1
980,6.0,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6,1
2973,6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9.0,6,1
1224,7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7,1
2618,6.6,0.26,0.21,2.9,0.026000000000000002,48,126,0.9908899999999999,3.22,0.38,11.3,7,1
406,5.8,0.28,0.34,4.0,0.031,40,99,0.9896,3.39,0.39,12.8,7,1
3111,6.5,0.23,0.39,1.9,0.036000000000000004,41,98,0.99,3.19,0.43,11.9,7,1
3772,6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6,1
4094,6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8,7,1
104,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3.0,0.44,9.1,5,1
292,7.4,0.28,0.42,19.8,0.066,53,195,1.0,2.96,0.44,9.1,5,1
3997,6.0,0.26,0.29,3.1,0.040999999999999995,37,144,0.98944,3.22,0.39,12.8,7,1
2449,6.7,0.27,0.26,2.3,0.043,61,181,0.9939399999999999,3.45,0.63,10.6,6,1
1881,7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6,1
791,5.9,0.24,0.3,2.0,0.033,28,92,0.99225,3.39,0.69,10.9,7,1
1780,8.4,0.17,0.31,5.4,0.052000000000000005,47,150,0.9953,3.24,0.38,9.8,5,1
273,6.6,0.58,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9.0,5,1
4444,5.0,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,6,1
638,5.6,0.35,0.14,5.0,0.046,48,198,0.9937,3.3,0.71,10.3,5,1
2367,7.2,0.3,0.3,8.1,0.05,40,188,0.9965200000000001,3.15,0.49,9.1,6,1
2546,6.7,0.5,0.38,7.5,0.046,26,175,0.9966200000000001,3.32,0.54,9.6,5,1
4026,7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,6,1
4857,7.5,0.38,0.33,9.2,0.043,19,116,0.99444,3.08,0.42,11.4,6,1
2855,6.9,0.33,0.26,5.0,0.027000000000000003,46,143,0.9924,3.25,0.43,11.2,7,1
1028,7.0,0.24,0.35,1.5,0.052000000000000005,51,128,0.9941,3.41,0.59,10.4,7,1
2120,6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9.0,5,1
672,7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5,8,1
256,6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11.0,7,1
346,5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,7,1
4165,6.6,0.22,0.35,1.4,0.05,23,83,0.99019,3.17,0.48,12.0,7,1
835,7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,8,1
3917,6.2,0.28,0.51,7.9,0.055999999999999994,49,206,0.9956,3.18,0.52,9.4,5,1
2782,7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6,1
3145,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,1
1731,8.7,0.34,0.46,13.8,0.055,68,198,0.9988,3.36,0.37,9.5,6,1
2490,7.7,0.39,0.49,7.7,0.036000000000000004,11,110,0.9966,3.33,0.76,10.0,6,1
3854,5.9,0.12,0.27,4.8,0.03,40,110,0.99226,3.55,0.68,12.1,6,1
3138,6.9,0.22,0.43,6.4,0.042,34,115,0.99293,3.05,0.51,10.8,6,1
1084,6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,7,1
3586,5.8,0.28,0.28,4.2,0.044000000000000004,52,158,0.992,3.35,0.44,10.7,7,1
1915,7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7,1
2748,5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,8,1
4829,6.0,0.32,0.33,9.9,0.032,22,90,0.9925799999999999,3.1,0.43,12.1,7,1
3287,6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9,7,1
2262,8.5,0.25,0.31,2.8,0.032,11,61,0.9918899999999999,3.06,0.44,11.5,6,1
2602,6.4,0.22,0.34,1.4,0.023,56,115,0.9895799999999999,3.18,0.7,11.7,6,1
1825,7.1,0.32,0.4,1.5,0.034,13,84,0.9944,3.42,0.6,10.4,5,1
4423,6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,6,1
3238,7.6,0.27,0.29,2.5,0.059000000000000004,37,115,0.9932799999999999,3.09,0.37,9.8,5,1
105,7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,6,1
2747,7.3,0.26,0.33,11.8,0.057,48,127,0.9969299999999999,3.1,0.55,10.0,6,1
1366,7.0,0.14,0.41,0.9,0.037000000000000005,22,95,0.9914,3.25,0.43,10.9,6,1
3123,5.5,0.18,0.22,5.5,0.037000000000000005,10,86,0.99156,3.46,0.44,12.2,5,1
1832,7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7,1
4890,6.1,0.34,0.29,2.2,0.036000000000000004,25,100,0.9893799999999999,3.06,0.44,11.8,6,1
708,7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10.0,6,1
2765,6.4,0.27,0.29,10.8,0.027999999999999997,17,118,0.99356,3.18,0.37,11.2,6,1
4176,6.8,0.24,0.33,3.2,0.049,68,161,0.99324,3.1,0.69,10.2,6,1
1771,6.5,0.18,0.26,1.4,0.040999999999999995,40,141,0.9941,3.34,0.72,9.5,6,1
2464,6.0,0.26,0.15,1.2,0.053,35,124,0.9934700000000001,3.08,0.46,8.8,5,1
4356,6.2,0.29,0.29,5.6,0.046,35,178,0.99313,3.25,0.51,10.5333333333333,5,1
1647,7.8,0.21,0.49,1.2,0.036000000000000004,20,99,0.99,3.05,0.28,12.1,7,1
2974,7.5,0.19,0.4,7.1,0.055999999999999994,50,110,0.9954,3.06,0.52,9.9,6,1
1840,6.9,0.18,0.33,1.0,0.054000000000000006,24,164,0.9926,3.42,0.51,10.5,5,1
3713,6.6,0.28,0.23,10.4,0.049,45,190,0.99754,3.12,0.51,8.8,5,1
4197,6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,5,1
4183,6.2,0.3,0.3,2.5,0.040999999999999995,29,82,0.99065,3.31,0.61,11.8,7,1
116,6.0,0.31,0.24,3.3,0.040999999999999995,25,143,0.9914,3.31,0.44,11.3,6,1
1713,6.6,0.34,0.27,6.2,0.059000000000000004,23,136,0.9957,3.3,0.49,10.1,6,1
2539,6.2,0.27,0.18,1.5,0.027999999999999997,20,111,0.9922799999999999,3.41,0.5,10.0,5,1
3954,6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5,1
3427,5.8,0.24,0.26,10.05,0.039,63,162,0.99375,3.33,0.5,11.2,6,1
668,6.1,0.14,0.25,1.3,0.047,37,173,0.9925,3.35,0.46,10.0,6,1
967,6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9.0,6,1
687,6.8,0.67,0.3,13.0,0.29,22,193,0.9984,3.08,0.67,9.0,4,1
4762,5.9,0.48,0.3,1.5,0.037000000000000005,19,78,0.9905700000000001,3.47,0.42,11.9,7,1
118,7.2,0.31,0.5,13.3,0.055999999999999994,68,195,0.9982,3.01,0.47,9.2,5,1
28,7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6,1
4558,5.9,0.21,0.23,7.9,0.033,22,130,0.9944,3.38,0.59,10.9,6,1
1496,6.7,0.62,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4,5,1
2469,6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5,1
1910,6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5,1
2918,5.7,0.28,0.28,2.2,0.019,15,65,0.9902,3.06,0.52,11.2,6,1
4309,6.6,0.34,0.25,4.8,0.038,16,121,0.99198,3.36,0.71,12.6,6,1
4223,5.3,0.43,0.11,1.1,0.028999999999999998,6,51,0.9907600000000001,3.51,0.48,11.2,4,1
964,5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,6,1
4122,6.2,0.34,0.25,12.1,0.059000000000000004,33,171,0.99769,3.14,0.56,8.7,6,1
1021,8.6,0.2,0.42,1.5,0.040999999999999995,35,125,0.9925,3.11,0.49,11.4,7,1
3844,6.7,0.37,0.25,2.5,0.027999999999999997,24,84,0.9909,3.14,0.36,11.7,6,1
2838,6.9,0.15,0.29,2.3,0.033,14,82,0.9913200000000001,3.1,0.58,11.2,7,1
2115,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,1
3220,9.0,0.38,0.53,2.1,0.102,19,76,0.9900100000000001,2.93,0.57,12.9,5,1
